Action: improve | review | Learn | conjugate | listen | compose | errors
Result: new | familiar | known | 0 | 0.5 | 1
sDay: sprintDay ; A/P: active | passive ; warning: starting row = 5 is fixed
ID	ACTION	RESULT	DURATION	SDAY	A/P
575	learn	k	7	8	a
576	learn	k	5	8	a
577	learn	n	7	8	a
578	learn	k	28	8	a
3043	verbs	1	17	8	p
2899	verbs	1	6	8	a
3088	verbs	1	3	8	a
2926	verbs	1	5	8	p
3036	verbs	1	4	8	p
3093	verbs	1	5	8	p
2853	verbs	1	5	8	p
3090	verbs	1	2	8	a
2901	verbs	1	3	8	p
3044	verbs	0	19	8	a
2855	verbs	1	6	8	p
2985	verbs	0	6	8	p
2987	verbs	1	10	8	a
3052	verbs	1	4	8	p
2923	verbs	1	7	8	a
2921	verbs	1	6	8	a
2876	verbs	0	7	8	a
3050	verbs	1	3	8	p
2874	verbs	1	10	8	a
2983	verbs	1	3	8	a
3042	verbs	0	14	8	a
2852	verbs	0	44	8	a
2984	verbs	1	7	8	a
3053	verbs	1	12	8	a
2877	verbs	1	15	8	p
3038	verbs	1	11	8	a
2927	verbs	1	10	8	a
2902	verbs	1	6	8	p
2854	verbs	1	4	8	a
2898	verbs	1	4	8	a
2900	verbs	1	4	8	p
3051	verbs	1	11	8	p
2924	verbs	1	16	8	a
2988	verbs	1	5	8	p
2873	verbs	1	7	8	a
2875	verbs	1	5	8	a
2922	verbs	1	3	8	a
3091	verbs	1	30	8	a
3049	verbs	1	7	8	a
3089	verbs	1	5	8	a
2946	verbs	1	3	8	p
3041	verbs	1	3	8	a
2935	verbs	1	2	8	a
2953	verbs	1	2	8	p
2847	verbs	1	2	8	p
3097	verbs	1	2	8	p
2878	verbs	1	2	8	p
2938	verbs	1	1	8	p
3059	verbs	1	2	8	a
3037	verbs	1	2	8	p
2882	verbs	1	2	8	p
2974	verbs	1	4	8	a
2934	verbs	1	2	8	a
3063	verbs	1	5	8	p
2976	verbs	1	2	8	p
2880	verbs	1	1	8	p
